	Survey End Date	CON (%)	LAB (%)	LD (%)	UKIP (%)	Grn (%)	Con Lead
YouGov/Sun	2013-07-30	34	40	11	10	2	-6
YouGov/Sun	2013-07-29	33	40	10	12	2	-7
Populus/	2013-07-28	34	39	11	8	3	-5
ComRes/Independent	2013-07-27	34	37	10	12	4	-3
Opinium/Observer	2013-07-26	28	39	8	16	3	-11
YouGov/Sunday Times	2013-07-26	33	39	10	11	2	-6
Populus/	2013-07-25	32	39	11	10	3	-7
YouGov/Sun	2013-07-25	32	38	11	11	3	-6
YouGov/Sun	2013-07-24	35	39	8	11	3	-4
YouGov/Sun	2013-07-23	32	39	11	12	2	-7
YouGov/Sun	2013-07-22	35	38	11	10	2	-3
TNS BMRB/	2013-07-22	28	38	9	16	2	-10
Populus/	2013-07-21	32	39	12	9	2	-7
YouGov/Sunday Times	2013-07-19	32	39	10	11	2	-7
Populus/	2013-07-18	31	39	12	10	3	-8
YouGov/Sun	2013-07-18	33	38	11	11	2	-5
YouGov/Sun	2013-07-17	31	37	12	13	3	-6
YouGov/Sun	2013-07-16	32	38	10	12	2	-6
Ipsos-MORI/Evening Standard	2013-07-15	29	40	10	12	4	-11
YouGov/Sun	2013-07-15	31	40	11	11	2	-9
ICM/Guardian	2013-07-14	36	36	13	7	3	0
Populus/	2013-07-14	31	38	13	10	4	-7
Survation/Mail on Sunday	2013-07-12	28	36	9	20	4	-8
Opinium/Observer	2013-07-12	27	38	6	19	4	-11
YouGov/Sunday Times	2013-07-12	30	41	10	13	2	-11
ComRes/Independent on Sunday (O)	2013-07-11	28	36	8	18	4	-8
YouGov/Sun	2013-07-11	32	40	10	13	2	-8
YouGov/Sun	2013-07-10	32	37	11	12	3	-5
YouGov/Sun	2013-07-09	31	39	10	13	3	-8
YouGov/Sun	2013-07-08	34	40	10	10	2	-6
YouGov/Sunday Times	2013-07-05	33	39	11	12	2	-6
YouGov/Sun	2013-07-04	31	39	11	12	2	-8
YouGov/Sun	2013-07-03	32	40	9	13	2	-8
Survation/Daily Mirror	2013-07-03	23	36	10	22	4	-13
YouGov/Sun	2013-07-02	32	40	9	12	3	-8
YouGov/Sun	2013-07-01	33	38	8	12	2	-5
Opinium/Observer	2013-06-28	27	37	7	19	3	-10
YouGov/Sunday Times	2013-06-28	33	38	11	11	2	-5
YouGov/Sun	2013-06-27	33	39	10	13	3	-6
YouGov/Sun	2013-06-26	31	42	11	10	3	-11
YouGov/Sun	2013-06-25	32	40	11	11	2	-8
YouGov/Sun	2013-06-24	32	39	9	12	3	-7
ComRes/Independent	2013-06-23	30	36	10	14	5	-6
YouGov/Sunday Times	2013-06-21	31	39	10	13	3	-8
YouGov/Sun	2013-06-20	31	39	11	14	2	-8
YouGov/Sun	2013-06-19	32	38	10	13	2	-6
YouGov/Sun	2013-06-18	31	38	10	12	2	-7
YouGov/Sun	2013-06-17	31	40	10	13	2	-9
Opinium/Observer	2013-06-14	27	36	7	20	3	-9
YouGov/Sunday Times	2013-06-14	30	39	10	14	2	-9
ComRes/Independent on Sunday (O)	2013-06-13	26	35	10	19	4	-9
YouGov/Sun	2013-06-13	32	39	10	12	2	-7
YouGov/Sun	2013-06-12	30	38	11	12	3	-8
YouGov/Sun	2013-06-11	30	38	9	16	3	-8
YouGov/Sun	2013-06-10	28	39	11	15	2	-11
TNS BMRB/	2013-06-10	27	36	8	19	3	-9
Ipsos-MORI/Evening Standard	2013-06-10	31	35	10	12	4	-4
ICM/Guardian	2013-06-09	29	36	12	12	2	-7
YouGov/Sunday Times	2013-06-07	30	40	9	14	2	-10
YouGov/Sun	2013-06-06	32	39	10	13	3	-7
YouGov/Sun	2013-06-05	30	39	10	14	3	-9
YouGov/Sun	2013-06-04	30	40	10	14	2	-10
YouGov/Sun	2013-06-03	31	38	10	16	2	-7
TNS BMRB/	2013-06-03	24	37	10	19	3	-13
Opinium/Observer	2013-05-31	26	37	6	21	4	-11
YouGov/Sunday Times	2013-05-31	30	39	10	15	2	-9
Survation/Sun on Sunday	2013-05-30	25	36	10	20	4	-11
YouGov/Sun	2013-05-30	30	38	11	14	3	-8
YouGov/Sun	2013-05-29	30	37	11	14	3	-7
YouGov/Sun	2013-05-28	29	39	10	15	3	-10
ComRes/Independent	2013-05-26	30	34	10	17	2	-4
Survation/Mail on Sunday	2013-05-24	24	35	10	22	4	-11
YouGov/Sunday Times	2013-05-24	30	40	10	14	2	-10
YouGov/Sun	2013-05-23	29	42	11	13	2	-13
YouGov/Sun	2013-05-22	27	38	10	16	4	-11
YouGov/Sun	2013-05-21	27	38	10	16	4	-11
YouGov/Sun	2013-05-20	31	39	10	14	2	-8
Survation/	2013-05-18	24	35	11	22		-11
YouGov/Sunday Times	2013-05-17	29	40	9	14	3	-11
ComRes/Independent on Sunday (O)	2013-05-16	29	35	8	19	4	-6
TNS BMRB/	2013-05-16	28	37	7	18	4	-9
Opinium/Observer	2013-05-16	27	37	7	20	4	-10
YouGov/Sun	2013-05-16	31	39	9	15	2	-8
YouGov/Sun	2013-05-15	30	40	10	14	2	-10
YouGov/Sun	2013-05-14	30	40	10	15	2	-10
YouGov/Sun	2013-05-13	31	38	10	14	2	-7
Ipsos-MORI/Evening Standard	2013-05-13	31	34	10	13	6	-3
ICM/Guardian	2013-05-12	28	34	11	18	2	-6
YouGov/Sunday Times	2013-05-10	30	39	9	16	3	-9
YouGov/Sun	2013-05-09	30	39	10	14	2	-9
YouGov/Sun	2013-05-08	27	38	11	17	2	-11
YouGov/Sun	2013-05-07	29	39	9	16	2	-10
YouGov/Sunday Times	2013-05-03	30	40	11	12	2	-10
YouGov/Sun	2013-05-02	32	43	9	10	1	-11
Opinium/Observer	2013-05-02	28	35	9	17	4	-7
YouGov/Sun	2013-05-01	33	39	10	13	2	-6
YouGov/Sun	2013-04-30	30	39	11	14	2	-9
YouGov/Sun	2013-04-29	30	39	11	14	3	-9
ComRes/Independent	2013-04-28	32	38	9	13	4	-6
Survation/Free Speech Network	2013-04-28	29	36	12	16	3	-7
YouGov/Sunday Times	2013-04-26	31	40	11	11	3	-9
YouGov/Sun	2013-04-25	32	40	11	12	2	-8
YouGov/Sun	2013-04-24	31	39	10	11	3	-8
YouGov/Sun	2013-04-23	33	40	10	12	3	-7
YouGov/Sun	2013-04-22	32	39	11	13	2	-7
YouGov/Sunday Times	2013-04-19	32	40	11	10	2	-8
Opinium/Observer	2013-04-18	29	35	8	17	4	-6
YouGov/Sun	2013-04-18	33	40	10	11	2	-7
YouGov/Sun	2013-04-17	30	41	10	12	2	-11
YouGov/Sun	2013-04-16	33	40	10	11	2	-7
YouGov/Sun	2013-04-15	31	39	12	12	2	-8
Ipsos-MORI/Evening Standard	2013-04-15	29	38	10	15	4	-9
ICM/Guardian	2013-04-14	32	38	15	9	2	-6
Angus Reid/	2013-04-13	27	39	8	16	3	-12
YouGov/Sunday Times	2013-04-12	31	42	12	11	2	-11
ComRes/Independent on Sunday (O)	2013-04-11	30	38	8	15	3	-8
YouGov/Sun	2013-04-11	32	42	9	11	2	-10
YouGov/Sun	2013-04-10	28	42	12	11	2	-14
YouGov/Sun	2013-04-09	33	41	10	10	2	-8
YouGov/Sun	2013-04-08	30	40	12	12	2	-10
TNS BMRB/	2013-04-08	25	40	10	14	4	-15
YouGov/Sunday Times	2013-04-05	30	40	11	13	2	-10
Opinium/Observer	2013-04-04	28	38	8	17	3	-10
YouGov/Sun	2013-04-04	30	42	11	12	2	-12
YouGov/Sun	2013-04-03	33	41	9	11	2	-8
YouGov/Sun	2013-04-02	30	43	11	10	3	-13
YouGov/Sun	2013-03-28	29	42	11	13	2	-13
YouGov/Sun	2013-03-27	30	40	12	13	2	-10
YouGov/Sun	2013-03-26	30	39	13	12	2	-9
YouGov/Sun	2013-03-25	30	41	13	11	2	-11
TNS BMRB/	2013-03-25	27	37	10	17	3	-10
ComRes/Independent	2013-03-24	28	38	12	14	3	-10
YouGov/Sunday Times	2013-03-22	30	41	12	12	2	-11
Opinium/Observer	2013-03-21	28	38	9	16	2	-10
YouGov/Sun	2013-03-21	32	41	11	10	2	-9
YouGov/Sun	2013-03-20	30	41	11	12	1	-11
YouGov/Sun	2013-03-19	31	41	11	11	2	-10
YouGov/Sun	2013-03-18	32	40	11	10	2	-8
TNS BMRB/	2013-03-18	26	39	13	13	1	-13
YouGov/Sunday Times	2013-03-15	29	41	12	12	2	-12
ComRes/Independent on Sunday (O)	2013-03-14	28	37	9	17	4	-9
YouGov/Sun	2013-03-14	30	42	11	11	2	-12
YouGov/Sun	2013-03-13	31	40	11	12	3	-9
YouGov/Sun	2013-03-12	29	43	11	12	1	-14
YouGov/Sun	2013-03-11	32	40	11	11	1	-8
TNS BMRB/	2013-03-11	25	38	11	15	3	-13
Ipsos-MORI/Evening Standard	2013-03-11	27	40	11	13	4	-13
ICM/Guardian	2013-03-10	31	39	15	7	2	-8
YouGov/Sunday Times	2013-03-08	31	41	12	11	1	-10
Opinium/Observer	2013-03-07	27	39	8	17	3	-12
YouGov/Sun	2013-03-07	32	41	11	11	2	-9
YouGov/Sun	2013-03-06	31	41	11	12	2	-10
YouGov/Sun	2013-03-05	29	42	11	12	2	-13
YouGov/Sun	2013-03-04	31	40	12	12	1	-9
TNS BMRB/	2013-03-04	29	38	11	14	3	-9
YouGov/Sunday Times	2013-03-01	31	42	10	11	2	-11
YouGov/Sun	2013-02-28	29	42	12	11	2	-13
YouGov/Sun	2013-02-27	32	43	11	8	1	-11
YouGov/Sun	2013-02-26	32	42	12	9	1	-10
YouGov/Sun	2013-02-25	32	44	10	8	2	-12
ComRes/Independent	2013-02-24	31	43	8	9	4	-12
YouGov/Sunday Times	2013-02-22	32	43	11	9	2	-11
Opinium/Observer	2013-02-21	29	41	8	13	2	-12
YouGov/Sun	2013-02-21	31	45	11	9	2	-14
YouGov/Sun	2013-02-20	33	43	9	10	2	-10
YouGov/Sun	2013-02-19	29	44	11	11	1	-15
YouGov/Sun	2013-02-18	32	41	12	8	2	-9
TNS BMRB/	2013-02-18	29	38	11	12	3	-9
YouGov/Sunday Times	2013-02-15	32	43	12	9	1	-11
ComRes/Independent on Sunday (O)	2013-02-14	31	36	8	14	4	-5
YouGov/Sun	2013-02-14	31	42	11	10	2	-11
YouGov/Sun	2013-02-13	32	42	9	9	3	-10
YouGov/Sun	2013-02-12	32	43	10	9	2	-11
YouGov/Sun	2013-02-11	32	43	10	9	2	-11
Ipsos-MORI/Evening Standard	2013-02-11	30	42	7	9	4	-12
TNS BMRB/	2013-02-11	31	41	10	10	3	-10
ICM/Guardian	2013-02-10	29	41	13	9	2	-12
YouGov/Sunday Times	2013-02-08	32	41	11	9	2	-9
Opinium/Observer	2013-02-07	29	39	8	14	4	-10
YouGov/Sun	2013-02-07	33	41	11	9	2	-8
YouGov/Sun	2013-02-06	31	42	12	9	1	-11
YouGov/Sun	2013-02-05	32	42	11	8	2	-10
YouGov/Sun	2013-02-04	30	45	11	9	2	-15
TNS BMRB/	2013-02-04	28	41	10	11	3	-13
YouGov/Sunday Times	2013-02-01	34	41	12	8	1	-7
YouGov/Sun	2013-01-31	32	44	10	8	2	-12
YouGov/Sun	2013-01-30	33	42	10	7	2	-9
YouGov/Sun	2013-01-29	33	42	11	8	2	-9
YouGov/Sun	2013-01-28	35	41	10	9	2	-6
ComRes/Independent	2013-01-27	32	39	10	10	5	-7
ComRes/Independent on Sunday (O)	2013-01-25	33	39	11	10	2	-6
Survation/Mail on Sunday	2013-01-25	31	38	10	14	2	-7
Angus Reid/Sunday Express	2013-01-25	30	39	10	12	3	-9
YouGov/Sunday Times	2013-01-25	35	41	12	7	1	-6
YouGov/Sun	2013-01-24	33	43	10	9	2	-10
Opinium/Observer	2013-01-24	28	41	8	14	3	-13
TNS BMRB/	2013-01-24	31	41	8	12	3	-10
YouGov/Sun	2013-01-23	31	43	11	10	2	-12
YouGov/Sun	2013-01-22	31	41	12	10	2	-10
YouGov/Sun	2013-01-21	33	42	10	10	2	-9
ICM/Guardian	2013-01-20	33	38	15	6	2	-5
YouGov/Sunday Times	2013-01-18	33	42	11	7	2	-9
YouGov/Sun	2013-01-17	34	44	9	8	2	-10
YouGov/Sun	2013-01-16	33	42	12	8	2	-9
YouGov/Sun	2013-01-15	32	44	10	9	2	-12
YouGov/Sun	2013-01-14	31	44	11	9	2	-13
TNS BMRB/	2013-01-14	31	37	9	13	3	-6
Ipsos-MORI/Evening Standard	2013-01-14	30	43	8	9	3	-13
Opinium/Observer	2013-01-11	31	41	7	12	2	-10
Angus Reid/	2013-01-11	27	42	10	11	3	-15
YouGov/Sunday Times	2013-01-11	31	44	11	8	2	-13
YouGov/Sun	2013-01-10	31	42	11	10	2	-11
YouGov/Sun	2013-01-09	33	43	10	10	1	-10
YouGov/Sun	2013-01-08	32	44	10	9	2	-12
YouGov/Sun	2013-01-07	32	41	11	9	2	-9
TNS BMRB/	2013-01-07	29	39	10	12	3	-10
Survation/Mail on Sunday	2013-01-04	29	38	11	16	3	-9
YouGov/Sunday Times	2013-01-04	32	43	10	9	2	-11
YouGov/Sun	2013-01-03	32	43	10	9	2	-11
YouGov/Sun	2013-01-02	31	43	11	9	2	-12
Opinium/Observer	2012-12-27	29	39	8	15	4	-10
ICM/Guardian	2012-12-23	32	40	13	7	3	-8
YouGov/Sunday Times	2012-12-21	33	43	10	8	1	-10
YouGov/Sun	2012-12-20	33	41	11	10	2	-8
YouGov/Sun	2012-12-19	30	43	11	10	3	-13
YouGov/Sun	2012-12-18	32	43	9	10	2	-11
YouGov/Sun	2012-12-17	31	43	9	11	2	-12
TNS BMRB/	2012-12-17	30	40	7	12	4	-10
Populus/Times	2012-12-16	29	40	11	11	3	-11
ComRes/Independent	2012-12-16	31	42	10	9	4	-11
Survation/Mail on Sunday	2012-12-14	30	38	9	14	2	-8
ComRes/Independent on Sunday (O)	2012-12-14	28	39	9	14	4	-11
YouGov/Sunday Times	2012-12-14	33	45	9	8	2	-12
Opinium/Observer	2012-12-13	29	39	8	14	4	-10
YouGov/Sun	2012-12-13	33	43	9	10	2	-10
YouGov/Sun	2012-12-12	31	44	12	9	2	-13
YouGov/Sun	2012-12-11	31	43	10	9	2	-12
YouGov/Sun	2012-12-10	33	42	10	8	2	-9
Ipsos-MORI/Evening Standard	2012-12-10	35	44	9	7	3	-9
TNS BMRB/	2012-12-10	26	41	8	16	3	-15
YouGov/Sunday Times	2012-12-07	33	42	10	9	2	-9
YouGov/Sun	2012-12-06	32	42	10	9	2	-10
YouGov/Sun	2012-12-05	32	44	9	10	2	-12
YouGov/Sun	2012-12-04	30	44	11	10	1	-14
YouGov/Sun	2012-12-03	31	43	11	10	2	-12
TNS BMRB/	2012-12-03	28	40	10	12	2	-12
YouGov/Sunday Times	2012-12-01	31	44	10	10	2	-13
Angus Reid/	2012-11-29	28	42	10	11	3	-14
Opinium/Observer	2012-11-29	29	38	9	13	3	-9
YouGov/Sun	2012-11-29	32	42	10	10	2	-10
YouGov/Sun	2012-11-28	32	44	11	8	2	-12
YouGov/Sun	2012-11-27	31	43	9	11	2	-12
YouGov/Sun	2012-11-26	34	43	9	8	1	-9
TNS BMRB/	2012-11-25	31	41	8	10	3	-10
ComRes/Independent	2012-11-25	35	42	10	6	3	-7
YouGov/Sunday Times	2012-11-23	33	44	9	8	2	-11
YouGov/Sun	2012-11-22	31	43	10	9	2	-12
YouGov/Sun	2012-11-21	33	41	9	10	3	-8
YouGov/Sun	2012-11-20	33	42	10	8	2	-9
YouGov/Sun	2012-11-19	32	42	9	9	2	-10
ICM/Guardian	2012-11-18	32	40	13	7	2	-8
TNS BMRB/	2012-11-16	31	39	11	7	4	-8
YouGov/Sunday Times	2012-11-16	33	44	9	8	2	-11
ComRes/Independent on Sunday (O)	2012-11-16	31	43	10	8	2	-12
YouGov/Sun	2012-11-15	33	43	8	9	2	-10
Opinium/Observer	2012-11-15	32	39	8	10	3	-7
YouGov/Sun	2012-11-14	35	42	8	7	3	-7
YouGov/Sun	2012-11-13	34	44	9	7	2	-10
Ipsos-MORI/Evening Standard	2012-11-13	32	46	9	3	4	-14
YouGov/Sun	2012-11-12	35	39	10	8	2	-4
TNS BMRB/	2012-11-12	31	41	9	9	3	-10
YouGov/Sunday Times	2012-11-09	32	44	8	8	2	-12
YouGov/Sun	2012-11-08	33	44	9	7	2	-11
YouGov/Sun	2012-11-07	34	45	8	6	3	-11
YouGov/Sun	2012-11-06	35	42	9	7	2	-7
YouGov/Sun	2012-11-05	35	44	8	7	2	-9
TNS BMRB/	2012-11-05	31	42	9	8	3	-11
YouGov/Sunday Times	2012-11-02	35	42	9	7	2	-7
Opinium/Observer	2012-11-01	30	41	9	10	3	-11
YouGov/Sun	2012-11-01	33	44	9	7	3	-11
YouGov/Sun	2012-10-31	33	44	9	8	2	-11
YouGov/Sun	2012-10-30	32	44	9	8	2	-12
YouGov/Sun	2012-10-29	33	43	9	8	2	-10
ComRes/Independent	2012-10-29	33	44	12	5	3	-11
TNS BMRB/	2012-10-29	31	42	11	8	2	-11
YouGov/Sunday Times	2012-10-26	35	42	9	7	3	-7
YouGov/Sun	2012-10-25	33	44	10	6	2	-11
Ipsos-MORI/Evening Standard	2012-10-24	33	43	9	6	3	-10
YouGov/Sun	2012-10-24	33	43	9	8	2	-10
YouGov/Sun	2012-10-23	34	42	9	8	2	-8
YouGov/Sun	2012-10-22	32	45	8	8	3	-13
ICM/Guardian	2012-10-22	33	41	14	5	2	-8
TNS BMRB/	2012-10-22	30	44	8	7	3	-14
Populus/Times	2012-10-21	35	40	9	5	4	-5
Survation/Mail on Sunday	2012-10-20	30	43	8	12		-13
YouGov/Sunday Times	2012-10-19	32	43	9	9	2	-11
ComRes/Independent on Sunday (O)	2012-10-18	33	41	10	9	3	-8
YouGov/Sun	2012-10-18	34	42	10	9	2	-8
Opinium/Observer	2012-10-18	31	40	9	10	4	-9
YouGov/Sun	2012-10-17	33	42	9	7	3	-9
YouGov/Sun	2012-10-16	34	43	9	7	2	-9
YouGov/Sun	2012-10-15	34	43	9	7	3	-9
TNS BMRB/	2012-10-15	29	42	7	10	4	-13
Angus Reid/Sunday Express	2012-10-12	31	43	8	8	3	-12
YouGov/Sunday Times	2012-10-12	33	43	10	6	2	-10
YouGov/Sun	2012-10-11	35	42	8	7	2	-7
YouGov/Sun	2012-10-10	34	41	8	10	2	-7
YouGov/Sun	2012-10-09	33	45	9	6	3	-12
YouGov/Sun	2012-10-08	34	44	8	7	2	-10
TNS BMRB/	2012-10-08	31	44	8	8	4	-13
YouGov/Sunday Times	2012-10-05	31	45	8	8	3	-14
Opinium/Observer	2012-10-04	30	41	9	11	4	-11
YouGov/Sun	2012-10-04	32	43	10	8	2	-11
YouGov/Sun	2012-10-03	31	45	10	7	2	-14
YouGov/Sun	2012-10-02	34	42	9	8	2	-8
YouGov/Sun	2012-10-01	34	43	9	8	3	-9
ComRes/Independent	2012-09-30	35	38	15	4	3	-3
Opinium/Observer	2012-09-28	29	39	10	10	4	-10
YouGov/Sunday Times	2012-09-28	35	40	10	7	3	-5
YouGov/Sun	2012-09-27	31	43	11	8	4	-12
YouGov/Sun	2012-09-26	32	41	9	9	3	-9
YouGov/Sun	2012-09-25	31	44	9	9	3	-13
YouGov/Sun	2012-09-24	32	43	9	7	3	-11
ICM/Guardian	2012-09-23	31	41	14	6	3	-10
TNS BMRB/	2012-09-21	28	44	8	7	5	-16
Opinium/Observer	2012-09-21	30	42	8	10	4	-12
Survation/Mail on Sunday	2012-09-21	29	41	10	12	3	-12
ComRes/Independent on Sunday (O)	2012-09-21	35	39	10	8	2	-4
YouGov/Sunday Times	2012-09-21	34	43	8	8	2	-9
YouGov/Sun	2012-09-20	35	41	9	7	3	-6
Survation/Mirror	2012-09-20	30	40	10	12		-10
YouGov/Sun	2012-09-19	33	45	10	7	2	-12
YouGov/Sun	2012-09-18	34	43	8	8	3	-9
Ipsos-MORI/Sky News/Evening Standard	2012-09-17	30	41	13	8	4	-11
YouGov/Sun	2012-09-17	33	45	10	5	2	-12
Populus/Times	2012-09-16	30	45	10	6	4	-15
YouGov/Sunday Times	2012-09-14	34	44	9	7	3	-10
YouGov/Sun	2012-09-13	34	43	8	7	3	-9
TNS BMRB/	2012-09-13	31	43	9	5	4	-12
Opinium/	2012-09-12	32	40	10	9	3	-8
YouGov/Sun	2012-09-12	33	42	11	7	1	-9
YouGov/Sun	2012-09-11	31	44	9	8	3	-13
YouGov/Sun	2012-09-10	31	42	10	8	2	-11
TNS BMRB/	2012-09-10	30	41	12	7	4	-11
YouGov/Sunday Times	2012-09-07	33	43	10	7	2	-10
YouGov/Sun	2012-09-06	33	45	8	6	3	-12
YouGov/Sun	2012-09-05	33	45	8	7	2	-12
YouGov/Sun	2012-09-04	34	40	10	7	3	-6
Opinium/	2012-09-03	31	42	8	9	3	-11
TNS BMRB/	2012-09-03	31	43	10	6	3	-12
YouGov/Sun	2012-09-03	33	44	8	7	2	-11
ComRes/Independent	2012-09-02	35	42	12	3	3	-7
YouGov/Sunday Times	2012-08-31	35	41	9	7	2	-6
YouGov/Sun	2012-08-30	33	42	10	8	2	-9
YouGov/Sun	2012-08-29	32	44	9	6	3	-12
YouGov/Sun	2012-08-28	32	44	10	8	3	-12
TNS BMRB/	2012-08-27	31	40	11	5	4	-9
ICM/Guardian	2012-08-26	34	39	15	4	2	-5
Survation/Mail on Sunday	2012-08-24	30	37	10	12	5	-7
YouGov/Sunday Times	2012-08-24	34	43	10	6	1	-9
YouGov/Sun	2012-08-23	32	44	10	7	3	-12
YouGov/Sun	2012-08-22	33	42	10	6	2	-9
YouGov/Sun	2012-08-21	34	44	8	8	2	-10
YouGov/Sun	2012-08-20	34	44	8	7	3	-10
TNS BMRB/	2012-08-20	32	42	10	7	3	-10
YouGov/Sunday Times	2012-08-17	32	43	10	7	2	-11
ComRes/Independent on Sunday (O)	2012-08-16	33	42	10	8	2	-9
YouGov/Sun	2012-08-16	35	44	8	6	2	-9
YouGov/Sun	2012-08-15	34	43	10	6	2	-9
Angus Reid/	2012-08-15	30	41	11	9	3	-11
Ipsos-MORI/Evening Standard	2012-08-15	32	42	11	4	4	-10
YouGov/Sun	2012-08-14	34	44	10	7	1	-10
YouGov/Sun	2012-08-13	34	42	9	6	3	-8
YouGov/Sunday Times	2012-08-10	34	42	8	8	2	-8
Opinium/	2012-08-09	31	40	10	10	3	-9
YouGov/Sun	2012-08-09	33	43	9	9	3	-10
YouGov/Sun	2012-08-08	33	42	11	6	2	-9
YouGov/Sun	2012-08-07	33	44	9	8	2	-11
YouGov/Sun	2012-08-06	34	44	10	6	2	-10
YouGov/Sunday Times	2012-08-03	32	44	10	8	2	-12
YouGov/Sun	2012-08-02	33	44	8	9	2	-11
YouGov/Sun	2012-08-01	32	43	10	8	2	-11
YouGov/Sun	2012-07-31	34	42	10	6	2	-8
YouGov/Sun	2012-07-30	33	44	9	7	2	-11
ComRes/Independent	2012-07-29	33	44	10	4	4	-11
YouGov/Sunday Times	2012-07-27	33	42	9	8	3	-9
TNS BMRB/	2012-07-26	30	42	11			-12
YouGov/Sun	2012-07-26	33	42	9	8	3	-9
YouGov/Sun	2012-07-25	33	44	9	7	2	-11
YouGov/Sun	2012-07-24	33	44	9	7	3	-11
YouGov/Sun	2012-07-23	33	43	9	8	1	-10
ICM/Guardian	2012-07-22	34	39	14	4	4	-5
YouGov/Sunday Times	2012-07-20	34	43	11	7	3	-9
ComRes/Independent on Sunday (O)	2012-07-19	32	42	10	9	3	-10
YouGov/Sun	2012-07-19	34	42	9	7	2	-8
YouGov/Sun	2012-07-18	33	43	8	7	2	-9
YouGov/Sun	2012-07-17	34	43	8	7	2	-9
Opinium/	2012-07-16	32	41	9	8	4	-9
YouGov/Sun	2012-07-16	33	44	9	8	2	-11
Ipsos-MORI/Evening Standard	2012-07-16	31	44	12	5	3	-13
Populus/Times	2012-07-15	34	40	12	5	2	-6
YouGov/Sunday Times	2012-07-13	34	43	9	7	3	-9
YouGov/Sun	2012-07-12	34	42	9	7	3	-8
YouGov/Sun	2012-07-11	35	42	9	8	2	-7
YouGov/Sun	2012-07-10	33	43	11	6	3	-10
YouGov/Sun	2012-07-09	35	44	7	6	3	-9
YouGov/Sunday Times	2012-07-06	32	43	8	8	3	-11
Opinium/	2012-07-05	30	40	9	9	4	-10
YouGov/Sun	2012-07-05	35	43	8	8	2	-8
YouGov/Sun	2012-07-04	33	44	8	7	3	-11
YouGov/Sun	2012-07-03	35	42	10	7	2	-7
YouGov/Sun	2012-07-02	34	44	8	8	2	-10
ComRes/Independent	2012-07-01	33	42	13	3	3	-9
YouGov/Sunday Times	2012-06-29	34	43	9	6	2	-9
Opinium/	2012-06-28	31	42	8	9	4	-11
YouGov/Sun	2012-06-28	32	43	10	7	3	-11
YouGov/Sun	2012-06-27	31	45	9	7	2	-14
YouGov/Sun	2012-06-26	34	42	11	7	2	-8
YouGov/Sun	2012-06-25	32	43	11	7	1	-11
ICM/Guardian	2012-06-24	34	39	14	3	3	-5
YouGov/Sunday Times	2012-06-22	34	43	9	8	2	-9
YouGov/Sun	2012-06-21	33	43	8	8	2	-10
YouGov/Sun	2012-06-20	34	41	10	8	3	-7
YouGov/Sun	2012-06-19	34	44	7	6	2	-10
YouGov/Sun	2012-06-18	33	44	7	8	2	-11
TNS BMRB/	2012-06-18	32	40	10	9		-8
Populus/Times	2012-06-17	33	41	9	5		-8
ComRes/Independent on Sunday (O)	2012-06-15	32	42	9	8		-10
YouGov/Sunday Times	2012-06-15	32	44	9	8		-12
YouGov/Sun	2012-06-14	31	43	9	8		-12
YouGov/Sun	2012-06-13	31	43	9	9		-12
YouGov/Sun	2012-06-12	33	43	8	8		-10
YouGov/Sun	2012-06-11	31	45	9	9		-14
Ipsos-MORI/Evening Standard	2012-06-11	31	40	10	6		-9
Opinium/	2012-06-11	31	42	9	8		-11
YouGov/Sunday Times	2012-06-08	34	42	7	9		-8
YouGov/Sun	2012-06-07	34	43	8	6		-9
YouGov/Sun	2012-06-06	34	43	8	7		-9
YouGov/Sunday Times	2012-06-01	32	42	8	7		-10
Survation/	2012-06-01	29	37	13	12		-8
Angus Reid/	2012-05-31	29	45	9	8		-16
YouGov/Sun	2012-05-31	31	45	9	8		-14
YouGov/Sun	2012-05-30	32	44	9	7		-12
YouGov/Sun	2012-05-29	32	45	8	8		-13
YouGov/Sun	2012-05-28	33	44	8	7		-11
ComRes/Independent	2012-05-28	34	42	11	4		-8
YouGov/Sunday Times	2012-05-25	31	43	8	8		-12
YouGov/Sun	2012-05-24	34	42	8	7		-8
YouGov/Sun	2012-05-23	32	42	9	9		-10
YouGov/Sun	2012-05-22	32	43	8	9		-11
TNS BMRB/	2012-05-21	30	41	9	10		-11
YouGov/Sun	2012-05-21	32	44	7	8		-12
Populus/Times	2012-05-20	33	41	10	5		-8
ICM/Guardian	2012-05-20	36	41	11	4		-5
YouGov/Sunday Times	2012-05-18	32	43	8	9		-11
ComRes/Independent on Sunday (O)	2012-05-17	32	41	11	7		-9
Opinium/	2012-05-17	30	41	9	10		-11
YouGov/Sun	2012-05-17	31	44	7	9		-13
YouGov/Sun	2012-05-16	31	45	9	8		-14
YouGov/Sun	2012-05-15	32	43	8	9		-11
YouGov/Sun	2012-05-14	31	45	7	8		-14
Ipsos-MORI/Evening Standard	2012-05-14	33	43	9	6		-10
YouGov/Sunday Times	2012-05-11	31	43	10	8		-12
YouGov/Sun	2012-05-10	34	44	7	7		-10
YouGov/Sun	2012-05-09	31	44	9	8		-13
YouGov/Sun	2012-05-08	31	44	8	8		-13
TNS BMRB/	2012-05-07	30	43	10			-13
YouGov/Sunday Times	2012-05-04	31	43	9	8		-12
YouGov/Sun	2012-05-03	32	41	9	9		-9
YouGov/Sun	2012-05-02	33	43	8	8		-10
